Tipo;Descripcion;Ancho X Alto;Vidrio;Cantidad;V.Unidad;V. Total;Total+Iva
;VIDRIO TEMPLADO BPB Y PERFORACION, ,Per:4<br>Boq:0;840x550;8MM INCOLORO;9;47,444;275,292;319,339
;;;Totales :;9;47,444;275,292;319,339
