T103;0.963;229
T103;0.963;229
T103;0.963;229
T101;1.315;292
T101;1.315;292
TC951;3.455;433.1
TC951;3.455;433.1
ALN736V1;0.831;173.9
ALN736;1.413;260
ALN736;1.413;260
ALN736V1;0.831;173.9
ALN736V1;0.831;173.9
ALN736;1.413;260
T215;0.557;152
TEM007;1.136;223.8
TEM007;1.136;223.8
TEM007;1.136;223.8
2439;1;0
TC63;0.768;425.05
40071;1;0
TC64;0.866;382.6
1521;1;0
TC70;1.276;342
T1,1/2RB;1;0
T3/4;1;0
TC68;1.282;401.1
TC64;0.866;382.6
TC63;0.768;425.05
ALN395M;0.204;150.82
TC69;0.433;260.2
TC60;0.569;249.5
TC66;0.965;552
T2C16;1;0
TC61;0.526;222.8
1X1;1;0
TG3001;0.41;0
TG3002;0.44;0
TG3003;0.64;0
TG3004;0.19;0
TG3005;1.91;0
TG3006;0.7;0
TG3007;0.73;0
TG3008;0.71;0
TG3009;0.23;0
TG3010;0.13;0
TG3011;0.4;0
TG3012;0.16;0
TG45;0;0
TG44;0;0
TG42;0;0
TG755;0;0
TG388;0;0
TG391;0;0
TC1144;0.889;338.43
TC1142;0.807;305.31
TC1141;0.605;243.8
TC1143;0.992;367.9
TC1139;0.524;350.6
2219;0.002;0
TC62;0.955;254.4
TP-4001;1.74;0
TP-4002;1.72;0
TP-4003;1.27;0
TP-4004;1.82;0
TP-4006;1.32;0
TP-4007;1.45;0
TP-4008;1.24;0
TP-4009;0.68;0
TP-4012;0.97;0
TP-4013;0.25;0
ALN1789;1.232;332
ALNA1645;0.555;215
M4555;3.24;0
C1098;0.55;0
4;0;0
1939;2;0
2485;2;0
TCR101;1.78;0
TCR103;1.83;0
TCR106;1.99;0
TCR107;1.24;0
TCR108;1.21;0
TCR110;2;0
TCR109;2;0
TCR111;2.8;0
ALN688;1.819;340
ALN1806;0.245;149
ALN1025;0.243;89
TCR105;1.97;0
TC71;1.285;388.8
T115;0.195;76
ALN1645;0.581;218
AGS082;2;0
ALN1644;1.906;408
ALN1737;1.592;351
99962;1;
M4544;0.27;0
M5408;1.71;0
C1097;0;0
TC1135;0.48;274
C1098;1.3;0
A028;1.251;203
SATINADO;0;0
TC1041;0.764;433.4
M1580;0.32;0
M1602;0.12;0
TC1137;0.488;281.6
1552;1;
2454;1;
99955;1;0
ALH-B391;0.468;0
ALH-B388;0.351;0
ALH-C393;0.33;0
ALH-B390;0.373;0
ALH-C392;0.349;0
99949;0.141;0
TC1140;0.647;333.9
ALN755-C;0.416;0
ALN449;1.536;494
ALE710;0.233;0
ALE716;0.223;0
ALE715;0.223;0
ALE712;0.223;0
ALE711;0.223;0
ALE714;0.223;0
ALE713;0.223;0
ALE-T45;0.223;0
ALE709;0.204;0
TC1133;0.173;120.3
ALE-B-392;0.371;0
ALE-B-387;0.318;0
ALE-B-393;0.364;0
ALE-B-388;0.351;0
ALE-B-391;0.367;0
ALE-B-389;0.266;0
ALE-B-390;0.373;0
R-001;1.796;432.5
R-002;1.897;633.6
R-003;1.823;329.8
R-004;1.989;370.1
R-005;1.234;381.1
R-006;1.258;366.6
R-007;1.351;409.1
R-008;2.64;0
R-009;0.204;54.6
TC1175;?;?
ALN688;1.819;340
ALN1025;0.243;0.243
ALN1056;0.522;143
ALN826;0.167;101
9992454;1;
M8000;0.222;0
ALN147D;0.289;204
TC951;3.455;433.1
TEM3835-01;0.219;161.3
TEM3835-02;0.399;292.47
TEM3835-03;0.183;146.89
TEM3835-04;0.205;162.75
TEM3835-05;0.211;171.55
TEM3835-06;0.108;88.69
TEM3835-07;0.213;155.78
TEM3835-08;0.185;109.35
TEM3835-09;0.163;90.22
1561;0;
TC67;1.392;342.31
TC67;1.392;342.31
1920;2;
ALN1821;0.586;221
TEM3835-10;0.325;144.59
TEM3835-11;0.259;132.67
TC1140;0.647;333.9
TC1146 ;0.484;260.2
TC1146 ;0.484;260.2
TC1141;0.605;243.8
TC1141;0.605;243.8
TC1141;0.605;243.8
TC1141;0.605;243.8
TC1142;0.807;305.31
TC1142;0.807;305.31
TC1142;0.807;305.31
TC1142;0.807;305.31
TC1140;0.647;333.9
TC1141;0.605;243.8
TC1144;0.889;338.43
ALN156;0.59;296
TC1142;0.807;305.31
TC1142;0.807;305.31
TC1144;0.889;338.43
TC1141;0.605;243.8
TC1139;0.524;350.6
ALN855;0.585;312.6
ALN151;0.61;323
TC1139;0.524;350.6
TC1141;0.605;243.8
TC1142;0.807;305.31
TC1139;0.524;350.6
ALN150;0.62;301
ALN150;0.62;301
TC69;0.433;260.2
TC1144;0.889;338.43
TC1143;0.992;367.9
TC1144;0.889;338.43
ALN156;0.59;296
TC1140;0.647;333.9
TC1139;0.524;350
ALN152;0.53;352.3
ALN708;0.814;429
ALN150;0.62;301
TC1041;0.764;433.4
TC1041;0.764;433.4
TC1141;0.605;243.8
TC1142;0.807;305.31
ALN156;0.59;296
ALN151;0.61;323
ALN151;0.61;323
ALN150;0.62;301
ALN157;0.771;389.49
ALN708;0.814;429
ALN150;0.62;301
ALN150;0.62;301
ALN150;0.62;301
TC1141;0.605;243.8
TC1142;0.807;305.31
TC1139;0.524;350
TC1141;0.605;243.8
TC1139;0.524;350.6
T103;0.963;229
T215;0.557;152
T215;0.557;152
ALN736;1.413;260
TC66;0.965;552
TC33;1.007;351.81
A-TEM001;0.812;316
TEM007;1.136;223.8
ALN736;1.413;260
TERMO-ESP-10MM;0;0
TERMO-ESP-12MM;0;0
TERMO-ESP-19MM;0;0
TERMO-ESP-6MM;0;0
TERMO-ESP-15MM;0;0
TC33;1.007;351.81
8838;0;
ALN736;1.413;260
ALN736V1;0.831;173.9
M4555;3.24;0
TC01;0.941;359.1
TC33;1.007;351.81
T101;1.315;292
T101;1.315;292
TC33;1.007;351.81
S387;0.607;344
TERMO-ESP-19MM;0;0
ALN736;1.413;260
ALN736;1.413;260
A-TEM007;1.136;223.8
ALN736;1.413;260
ALN1101;0.65;229
ALN736;1.413;260
T103;0.963;229
TC9306;0;0
TC9306;0;0
TC4704;0;0
ALN736;1.413;260
T103;0.963;229
TEM007;1.136;223.8
ALN736V1;0.831;173.9
ALN736V1;0.831;173.9
SPACER 8MM;0;0
T101;1.315;292
T117;0.472;150
T117;0.472;150
T117;0.472;150
ALN736V1;0.831;173.9
ALN736V1;0.831;173.9
M1180;0.552;352.9
ALN736;1.413;260
M4555;3.24;0
M4511;0;0
TC951;3.455;433.1
TC64;0.866;382.6
TC58;0.187;124.3
M4035;1.148;519.8
TC56;0.44;168.2
M4032;0.729;332.2
M4032;0.729;332.2
M4032;0.729;332.2
M4038;1.084;492.6
M4038;1.084;492.6
M4032;0.729;332.2
M4036;0.328;205.1
TC951;3.455;433.1
M3505;0.773;334
M3485;0.371;176
M4549;0;0
ALN1123;0.424;264.7
ALN1123;0.424;264.7
TC63;0.768;425.05
TC69;0.433;260.2
TC63;0.768;425.05
TC64;0.866;382.6
TC69;0.433;260.2
M1602;0;0
M1580;0;0
M4030;1.148;519.7
M4038;1.084;492.6
M4032;0.729;332.2
TC1175;?;?
M1580;0;0
M4038;1.084;492.6
M4038;1.084;492.6
M4706;0;0
M4707;0;0
M4700;0;0
4705;0;0
M4701;0;0
M1602;0;0
ALN413;0.759;376
TC69;0.433;260.2
ALN1123;0.424;264.7
M3485;0;0
M3505;0.773;334
S351;2.156;465
S369;1.859;448
S463;0.543;169
TC951;3.455;433.1
TC951;3.455;433.1
M4030;1.148;519.7
ALN584;0.339;178.7
ALN1123;0.424;264.7
M3485;0;0
S463;0.543;169
ALN449;1.536;494
ALN449;1.536;494
TC63;0.768;425.05
M4030;1.148;519.7
M4030;1.148;519.7
TC63;0.768;425.05
M4033;0.351;220.1
M4033;0.351;220.1
TC63;0.768;425.05
TC64;0.866;382.6
M4038;1.084;492.6
ALN343;0.209;132
M0019;0;0
A-TEM002;0.503;315.5
TC63;0.768;425.05
M4030;1.148;519.7
M4030;1.148;519.7
M4032;0.729;332.2
M4033;0.351;220.1
 PLATI0012;0.164;44
ALN193D;0;0
ALN258D;0;0
TC61;0.526;222.8
ALN193D;0;0
ALN880;0;0
ALN533;0.331;219.8
ALN192;0;0
ALN193D;0;0
ALN147D;0;0
TC23;0;0
